"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.849690708E0,-2.309696960E-1,-9.610015869E-1,9.643097076E0,9.693616058E0
1.859676708E0,-2.022294617E-1,-1.002315674E0,9.699829102E0,9.753574630E0
1.869663708E0,-1.749861145E-1,-1.043629761E0,9.758357391E0,9.815565302E0
1.879649708E0,-1.579216003E-1,-1.014889526E0,9.719138947E0,9.773259530E0
1.889636708E0,-1.419049072E-1,-9.300160217E-1,9.724228363E0,9.769630702E0
1.899623708E0,-1.115180969E-1,-9.060658264E-1,9.903555450E0,9.945541822E0
1.909609708E0,-1.077758789E-1,-9.169931030E-1,9.905202026E0,9.948141493E0
1.919596708E0,-1.627116394E-1,-9.372010803E-1,9.827363892E0,9.873292359E0
1.929582708E0,-1.636097717E-1,-9.457333374E-1,9.811945953E0,9.858775943E0
1.939569708E0,-1.591191101E-1,-9.301657104E-1,9.841883698E0,9.887021890E0
1.949555708E0,-1.543290710E-1,-9.237290955E-1,1.001657043E1,1.006025726E1
1.959542708E0,-1.212478638E-1,-9.268725586E-1,1.023152344E1,1.027413576E1
1.969529708E0,-1.172062683E-1,-9.812095642E-1,1.039228912E1,1.043916581E1
1.979515708E0,-1.369651794E-1,-1.061293030E0,1.060305084E1,1.065691276E1
1.989502708E0,-1.139131165E-1,-1.145268402E0,1.075408676E1,1.081549805E1
1.999488708E0,-8.622070312E-2,-1.139430542E0,1.068343369E1,1.074437021E1
2.009475708E0,-1.263372803E-1,-1.049317932E0,1.058808197E1,1.064070059E1
2.019462708E0,-1.239422607E-1,-9.593550110E-1,1.053494247E1,1.057925974E1
2.029448708E0,-1.552272034E-1,-9.002279663E-1,1.044557831E1,1.048544763E1
2.039435708E0,-2.377056885E-1,-9.199868774E-1,1.034783157E1,1.039136652E1
2.049421708E0,-2.662962341E-1,-1.016236725E0,1.026924500E1,1.032284087E1
2.059409542E0,-2.300715637E-1,-1.074914703E0,1.029798523E1,1.035648948E1
2.069396542E0,-2.535726929E-1,-1.057251434E0,1.043270508E1,1.048920469E1
2.079382542E0,-2.715353394E-1,-1.103505249E0,1.043749512E1,1.049917900E1
2.089369542E0,-3.213816833E-1,-1.145717468E0,1.038600220E1,1.045394645E1
2.099355542E0,-3.586541748E-1,-1.146465912E0,1.042087967E1,1.048988799E1
2.109342542E0,-3.730242920E-1,-1.152603149E0,1.047027695E1,1.054013000E1
2.119329542E0,-4.047583008E-1,-1.201401672E0,1.038495438E1,1.046204916E1
2.129315542E0,-4.574487305E-1,-1.202000427E0,1.033076706E1,1.041051451E1
2.139302542E0,-4.658312988E-1,-1.163081360E0,1.022718246E1,1.030364102E1
