"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.663421792E0,-9.766440582E0,1.990859985E-2,-6.800358582E-1,9.790107597E0
1.673408792E0,-9.745933228E0,2.709365845E-2,-7.343728638E-1,9.773599749E0
1.683394792E0,-9.736053772E0,3.592529297E-2,-7.390132141E-1,9.764126905E0
1.693381792E0,-9.745035095E0,1.437011719E-2,-7.186555481E-1,9.771508650E0
1.703367792E0,-9.733509064E0,1.616638184E-2,-6.652166748E-1,9.756227410E0
1.713353792E0,-9.762398987E0,2.529739380E-2,-5.751040649E-1,9.779356759E0
1.723340792E0,-9.751621399E0,1.362167358E-2,-5.539979553E-1,9.767354769E0
1.733326792E0,-9.748178558E0,3.742218018E-3,-6.110293579E-1,9.767310586E0
1.743313792E0,-9.754315796E0,9.430389404E-3,-6.598278809E-1,9.776611806E0
1.753299792E0,-9.743089142E0,4.909790039E-2,-6.873706055E-1,9.767429292E0
1.763286792E0,-9.741592255E0,3.667373657E-2,-6.875202942E-1,9.765892114E0
1.773272792E0,-9.742041321E0,2.724334717E-2,-6.848258972E-1,9.766119895E0
1.783259792E0,-9.741592255E0,3.203338623E-2,-6.451583862E-1,9.762984950E0
1.793245792E0,-9.742640076E0,1.422042847E-2,-6.758445740E-1,9.766063882E0
1.803232792E0,-9.748777313E0,1.197509766E-2,-7.352709961E-1,9.776473083E0
1.813218792E0,-9.750274200E0,1.302291870E-2,-7.583230591E-1,9.779727524E0
1.823205792E0,-9.768087158E0,1.062789917E-2,-7.397616577E-1,9.796064873E0
1.833191792E0,-9.731263733E0,2.754272461E-2,-7.376660156E-1,9.759221464E0
1.843178792E0,-9.753866730E0,5.328918457E-2,-7.484436035E-1,9.782684895E0
1.853164667E0,-9.730066223E0,-1.317260742E-2,-7.497908020E-1,9.758921481E0
1.863150667E0,-9.739197235E0,-1.122665405E-2,-7.589218140E-1,9.768728225E0
1.873137667E0,-9.746232605E0,5.074447632E-2,-7.402107239E-1,9.774432818E0
1.883123667E0,-9.717791748E0,6.571334839E-2,-7.092251587E-1,9.743859350E0
1.893110667E0,-9.744286652E0,4.864883423E-2,-7.511380005E-1,9.773315576E0
1.903096667E0,-9.744286652E0,-2.020797729E-2,-7.429051208E-1,9.772586082E0
1.913083667E0,-9.768985291E0,1.182540894E-2,-6.990463257E-1,9.793971575E0
1.923069667E0,-9.743987274E0,3.278182983E-2,-6.971003723E-1,9.768946288E0
1.933056667E0,-9.745633850E0,-7.634124756E-3,-7.268884277E-1,9.772707107E0
1.943042667E0,-9.739496613E0,-3.143463135E-3,-7.020401001E-1,9.764766482E0
1.953029667E0,-9.737101593E0,2.080673218E-2,-6.737489319E-1,9.760405626E0
1.963015667E0,-9.738897858E0,4.445755005E-2,-6.843768311E-1,9.763015907E0
1.973002667E0,-9.748927002E0,4.385879517E-2,-6.753955078E-1,9.772392766E0
1.982988667E0,-9.749974823E0,7.933502197E-3,-6.453080750E-1,9.771309764E0
1.992975667E0,-9.729018402E0,1.616638184E-2,-7.453001404E-1,9.757537226E0
2.002961667E0,-9.742041321E0,5.538482666E-2,-6.586303711E-1,9.764437031E0
2.012947667E0,-9.737550659E0,-2.619552612E-2,-6.641688538E-1,9.760210003E0
2.022934667E0,-9.742490387E0,4.790039062E-3,-6.727011108E-1,9.765688336E0
2.032920667E0,-9.743987274E0,-7.634124756E-3,-6.406677246E-1,9.765029514E0
2.042907667E0,-9.750274200E0,4.221221924E-2,-7.120692444E-1,9.776332209E0
2.052893667E0,-9.743837585E0,4.266128540E-2,-7.062313843E-1,9.769490961E0
2.062880667E0,-9.762848053E0,3.876937866E-2,-6.951544189E-1,9.787642455E0
2.072866667E0,-9.738748169E0,3.817062378E-2,-7.131170654E-1,9.764896766E0
2.082853667E0,-9.743687897E0,1.901046753E-2,-6.616241455E-1,9.766143647E0
2.092839667E0,-9.760453033E0,-3.293151855E-2,-6.176156616E-1,9.780029499E0
2.102826667E0,-9.765243073E0,-1.811233521E-2,-6.246510315E-1,9.785217894E0
2.112812667E0,-9.759854279E0,-3.143463135E-3,-6.078858948E-1,9.778767340E0
2.122799667E0,-9.745783539E0,2.844085693E-2,-5.864804077E-1,9.763455584E0
2.132785667E0,-9.753567352E0,4.894821167E-2,-6.093827820E-1,9.772707885E0
2.142771667E0,-9.745334473E0,4.610412598E-2,-5.879772949E-1,9.763164798E0
2.152758667E0,-9.753267975E0,3.817062378E-2,-5.894741821E-1,9.771139800E0
2.162744667E0,-9.756112061E0,-1.407073975E-2,-6.044430542E-1,9.774828486E0
2.172731667E0,-9.752369843E0,-2.544708252E-2,-5.623805237E-1,9.768604657E0
2.182717667E0,-9.777367859E0,1.721420288E-2,-5.310955811E-1,9.791796622E0
2.192704667E0,-9.756710815E0,3.038681030E-2,-5.251080322E-1,9.770878555E0
2.202690667E0,-9.751322021E0,4.460723877E-2,-5.328918457E-1,9.765973822E0
2.212677667E0,-9.755812683E0,4.206253052E-2,-5.628295898E-1,9.772125025E0
2.222663667E0,-9.752519531E0,3.697311401E-2,-6.101312256E-1,9.771656171E0
2.232650667E0,-9.755962372E0,3.143463135E-3,-6.177653503E-1,9.775502325E0
2.242636667E0,-9.753866730E0,-1.796264648E-2,-6.450086975E-1,9.775186702E0
2.252623667E0,-9.752968597E0,-9.280700684E-3,-6.635700989E-1,9.775520849E0
2.262609667E0,-9.740095367E0,-1.047821045E-3,-6.426136780E-1,9.761270983E0
2.272596667E0,-9.752818909E0,1.990859985E-2,-6.765930176E-1,9.776280025E0
2.282582667E0,-9.754016418E0,5.284011841E-2,-7.334747314E-1,9.781697887E0
2.292568667E0,-9.749825134E0,4.999603271E-2,-6.441105652E-1,9.771206076E0
2.302555667E0,-9.745484161E0,2.799179077E-2,-6.173162842E-1,9.765056297E0
2.312541667E0,-9.735005951E0,5.837860107E-3,-6.707551575E-1,9.758088308E0
2.322528667E0,-9.748477936E0,7.484436035E-3,-6.959028625E-1,9.773288028E0
2.332514667E0,-9.752070465E0,4.490661621E-3,-6.987469482E-1,9.777072457E0
2.342501667E0,-9.757459259E0,1.017883301E-2,-6.514453125E-1,9.779186868E0
2.352487667E0,-9.746681671E0,4.475692749E-2,-6.873706055E-1,9.770992024E0
2.362474667E0,-9.754315796E0,7.544311523E-2,-6.267466736E-1,9.774721464E0
2.372460667E0,-9.752818909E0,-4.939727783E-3,-5.463638306E-1,9.768112126E0
2.382447667E0,-9.735155640E0,-3.293151855E-3,-8.530760193E-1,9.772461556E0
2.392433667E0,-9.727820892E0,1.137634277E-2,-9.439370728E-1,9.773517582E0
2.402420667E0,-9.725874939E0,-2.095642090E-3,-8.940907288E-1,9.766885171E0
2.412406667E0,-9.734856262E0,1.451980591E-2,-7.792794800E-1,9.766008078E0
2.422393667E0,-9.743388519E0,3.263214111E-2,-6.589297485E-1,9.765698803E0
2.432379667E0,-9.746681671E0,2.754272461E-2,-5.557942200E-1,9.762554451E0
2.442365667E0,-9.738149414E0,2.993774414E-2,-6.045927429E-1,9.756945355E0
2.452352667E0,-9.757159882E0,3.427871704E-2,-6.044430542E-1,9.775924273E0
2.462338667E0,-9.760153656E0,1.302291870E-2,-5.423222351E-1,9.775217767E0
2.472325667E0,-9.755962372E0,7.484436035E-3,-5.396278381E-1,9.770877955E0
2.482311667E0,-9.756561127E0,-7.933502197E-3,-5.763015747E-1,9.773570047E0
2.492298667E0,-9.758058014E0,3.218307495E-2,-5.878276062E-1,9.775800389E0
2.502284667E0,-9.777517548E0,3.876937866E-2,-4.914280701E-1,9.789936364E0
2.512271667E0,-9.764045563E0,2.559677124E-2,-4.698728943E-1,9.775378329E0
2.522257667E0,-9.761500854E0,3.278182983E-2,-4.599934387E-1,9.772388016E0
2.532244667E0,-9.764344940E0,2.320175171E-2,-4.405339050E-1,9.774305119E0
2.542230667E0,-9.775721283E0,2.260299683E-2,-4.581971741E-1,9.786479558E0
2.552217667E0,-9.772428131E0,6.436614990E-3,-5.144801331E-1,9.785963561E0
2.562203667E0,-9.756411438E0,9.131011963E-3,-6.050418091E-1,9.775158470E0
2.572189667E0,-9.757758636E0,2.993774414E-3,-6.758445740E-1,9.781136358E0
2.582176667E0,-9.749226379E0,3.637435913E-2,-7.408094788E-1,9.777399285E0
2.592162667E0,-9.707912292E0,6.646179199E-2,-8.957373047E-1,9.749375548E0
2.602149667E0,-9.735455017E0,2.664459229E-2,-1.067280579E0,9.793818569E0
2.612135667E0,-9.707163849E0,2.559677124E-2,-9.542655945E-1,9.753989338E0
2.622122667E0,-9.733209686E0,-3.817062378E-2,-9.547146606E-1,9.779995290E0
2.632108667E0,-9.737550659E0,-3.272195435E-1,-8.767268372E-1,9.782413578E0
